ingredient,raw,n_sources,herb_hits,mapped,CHP_ID,chinese,english,how,note,formula_n,has_props,review_needed,review_note,ambiguous,alt_candidates,norm_how
피스타치오,피스타치오,1,3,Y,CHP04382,无名子,Pistacia vera,한자사전,피스타치오→无名子,1,Y,N,,N,,원형
찹쌀,찹쌀,2,2,Y,CHP03039,糯米,Rice,한자사전,찹쌀→糯米,10,Y,N,,N,,원형
계란노른자,계란노른자,1,2,N,,,,실패,,0,N,N,,N,,원형
오렌지주스,오렌지주스,1,2,N,,,,실패,,0,N,N,,N,,원형
피망,피망,2,2,N,,,,실패,,0,N,N,,N,,원형
체리모야,체리모야,1,2,N,,,,실패,,0,N,N,,N,,원형
레드커런트,레드커런트,1,2,N,,,,실패,,0,N,N,,N,,원형
엘더베리,엘더베리,1,2,N,,,,실패,,0,N,N,,N,,원형
보리,보리,1,2,Y,CHP00534,大麦,Barley,한자사전,보리→大麦,2,Y,N,,N,,원형
빵,빵,1,2,N,,,,실패,,0,N,N,,N,,원형
러비지,러비지,1,2,N,,,,실패,,0,N,N,,N,,원형
패션프루트,패션프루트,1,2,N,,,,실패,,0,N,N,,N,,원형
메밀,메밀,1,2,Y,CHP03213,荞麦,Fagopyrum esculentum,한자사전,메밀→荞麦,0,Y,N,,N,,원형
아주완씨앗,아주완 씨앗,1,2,N,,,,실패,,0,N,N,,N,,원형
자몽,자몽,2,2,N,,,,실패,,0,N,N,,N,,원형
크랜베리,크랜베리,2,2,N,,,,실패,,0,N,N,,N,,원형
용안육,용안육,2,2,Y,CHP02427,龙眼肉,Longan,한자사전,용안육→龙眼肉,62,Y,N,,N,,원형
홍차,홍차,2,2,Y,CHP00333,茶叶,Tea Plant,한자사전,홍차→茶叶,34,Y,N,,N,,원형
인삼,인삼,2,2,Y,CHP03319,人参,Ginseng Root,한자사전,인삼→人参,754,Y,N,,N,,원형
연자육,연자육,2,2,Y,CHP02312,莲子,Sacred Lotus,한자사전,연자육→莲子,81,Y,N,,N,,원형
주니퍼베리,주니퍼베리,2,2,Y,CHP00441,刺柏,Juniperus formosana,한자사전,주니퍼베리→刺柏,8,Y,Y,刺柏=Juniperus formosana(대만종) — J. communis 아님,N,,원형
루바브,루바브,2,2,Y,CHP00513,大黄,Rhubarb Rhizome,한자사전,루바브→大黄,752,Y,N,,N,,원형
흰강낭콩,흰강낭콩,2,2,N,,,,실패,,0,N,N,,N,,원형
레드와인,레드와인,2,2,N,,,,실패,,0,N,N,,N,,원형
프로슈토,프로슈토,2,2,N,,,,실패,,0,N,N,,N,,원형
베리,베리류,2,2,N,,,,실패,,0,N,N,,N,,동의어
오리고기,오리고기,2,2,Y,CHP06341,鸭肉,Anas platyrhynchos Meat,한자사전,오리고기→鸭肉,0,N,N,,N,,원형
병아리콩,병아리콩,1,2,N,,,,실패,,0,N,N,,N,,원형
완두콩,완두콩,2,2,Y,CHP04276,豌豆,Pisum sativum,한자사전,완두콩→豌豆,0,Y,N,,N,,원형
복숭아,복숭아,2,2,Y,CHP04070,桃子,Peach,한자사전,복숭아→桃,0,Y,N,,N,,원형
호로파,호로파,2,2,Y,CHP01516,胡芦巴,Trigonella foenum-graecum,한자사전,호로파→胡芦巴,37,Y,N,,N,,원형
겨자씨,겨자씨,2,2,Y,CHP01898,芥子,Mustard Seed,한자사전,겨자씨→芥子,21,Y,N,,N,,원형
국화,국화,2,2,Y,CHP02019,菊花,Florist's Chrysanthemum,한자사전,국화→菊花,208,Y,N,,N,,원형
청경채,청경채,1,2,N,,,,실패,,0,N,N,,N,,원형
오향분,오향분,1,2,N,,,,실패,,0,N,N,,N,,원형
카이란,카이란(중국브로콜리),1,2,N,,,,실패,,0,N,N,,N,,괄호제거
파스닙,파스닙,1,2,N,,,,실패,,0,N,N,,N,,원형
생선,생선|생선(연어),2,2,Y,CHP06059,鱼鳔,Fish Maw,한자사전,생선→鱼鳔,7,Y,Y,鱼鳔=Fish Maw(부레) — 생선 일반이 아님,N,,괄호제거|원형
아스파라거스,아스파라거스,1,2,Y,CHP02441,芦根,Reed Rhizome,한자사전,아스파라거스→芦笋,87,Y,N,,N,,원형
케이퍼,케이퍼,1,2,N,,,,실패,,0,N,N,,N,,원형
굴소스,굴소스,1,2,N,,,,실패,,0,N,N,,N,,원형
바닐라빈,바닐라빈,1,2,N,,,,실패,,0,N,N,,N,,원형
석류,석류,2,2,Y,CHP04002,酸石榴,Pomegranate,한자사전,석류→石榴,66,Y,N,,N,,원형
커런트,currant,1,1,N,,,,실패,,0,N,N,,N,,영문사전
젤라틴,gelatin powder,1,1,N,,,,실패,,0,N,N,,N,,영문사전
lindisfarne mead,lindisfarne mead,1,1,N,,,,실패,,0,N,N,,N,,영문미해결
체리,체리,1,1,N,,,,실패,,0,N,N,,N,,원형
비트,비트,1,1,Y,CHP04113,甜菜,Beta vulgaris,한자사전,비트→甜菜,0,Y,Y,"甜菜=Beta vulgaris 학명 일치, 방제 0회",N,,원형
토마토페이스트,토마토페이스트,1,1,N,,,,실패,,0,N,N,,N,,원형
양배추,양배추,1,1,Y,CHP01897,芥蓝,Brassica oleracea,한자사전,양배추→甘蓝,0,Y,N,,N,,원형
토란,taro root,1,1,Y,CHP05295,芋头,Colocasia esculenta,한자사전,토란→芋,1,Y,N,,N,,영문사전
전분,전분,1,1,N,,,,실패,,0,N,N,,N,,원형
우엉,우엉,1,1,Y,CHP02983,牛蒡根,Arctium lappa Root,한자사전,우엉→牛蒡根,0,Y,N,,N,,원형
파프리카,파프리카,1,1,N,,,,실패,,0,N,N,,N,,원형
이스트,이스트,1,1,N,,,,실패,,0,N,N,,N,,원형
호밀가루,rye flour,1,1,N,,,,실패,,0,N,N,,N,,영문사전
vodka,vodka,1,1,N,,,,실패,,0,N,N,,N,,영문미해결
